PurchaseId,Buyer,Vendor,Unit,Order Date,Order Number,Description,Amount,Delivery Date,Note,Cheshbonit Vendor,Chesbonit Delivery,InputDate,Payed By,new_date,new_date1,apt
e5608c13,yuri@emmaleh.com,b3269088,1850,10/4/2021,105338931,"Oven W Burners , WM Side Door , Moving (Hovala)"," ₪1,928.00",10/19/2021,,Payments_Files_/01432d20.Cheshbonit.094244.pdf,466878264,11/10/2021,,#VALUE!,2021-10,U061
601f4b3c,yuri@emmaleh.com,b3269088,1417,10/14/2021,105341025,"WM Side Door , Moving (Hovala)", ₪929.00,10/26/2021,,Payments_Files_/7ad200dd.Cheshbonit.123802.pdf,466872100,11/10/2021,,10/14/2021,2021-10,U052
f75448d8,yuri@emmaleh.com,b3269088,0935,10/14/2021,105341032,"WM Side Door , Moving (Hovala)", ₪929.00,11/10/2021,,Payments_Files_/791014f6.Cheshbonit.124057.pdf,466872109,11/10/2021,,10/14/2021,2021-10,
841137cf,yuri@emmaleh.com,b3269088,2119,10/14/2021,105341035,Electric Burners, ₪600.00,10/18/2021,,Payments_Files_/e680cd62.Cheshbonit.124459.pdf,466873438,11/10/2021,,10/14/2021,2021-10,U097
0e9ebf8a,yuri@emmaleh.com,b3269088,2614,10/19/2021,105342138,"Regualr Fridge , Moving (Hovala)"," ₪1,970.00",10/27/2021,,Payments_Files_/54c52d0c.Cheshbonit.131015.pdf,466878277,11/10/2021,,10/19/2021,2021-10,U097
f2a8cebb,yuri@emmaleh.com,b3269088,1816,10/19/2021,105342140,"WM Top Door , Moving (Hovala)"," ₪1,560.00",10/25/2021,,Payments_Files_/fcb5c32b.Cheshbonit.131145.pdf,466876515,11/10/2021,,10/19/2021,2021-10,U052
5357Dec3,yuri@emmaleh.com,b3269088,1427,10/18/2021,105341834,"Small Fridge , Moving (Hovala)"," ₪1,019.00",10/27/2021,,Payments_Files_/e6d22532.Cheshbonit.131305.pdf,466878281,11/10/2021,,10/18/2021,2021-10,U052
40582f99,yuri@emmaleh.com,b3269088,1405,11/1/2021,105344830,"Moving (Hovala) , WM Top Door"," ₪1,720.00",11/2/2021,,Purchases_Files_/40582f99.Cheshbonit Vendor.070012.pdf,467003884,11/10/2021,,#VALUE!,2021-11,U052
ef7ca069,yuri@emmaleh.com,b3269088,186dafa2a,11/10/2021,105341031,"WM Side Door , Moving (Hovala)", ₪929.00,10/26/2021,WM for Emmaleh 1 apt Zissu 2\25B,Payments_Files_/114eb2ad.Cheshbonit.131623.pdf,466877902,11/10/2021,,11/10/2021,2021-11,U094
fea67854,yuri@emmaleh.com,b3269088,1837,11/11/2021,105346539,"WM Side Door , Moving (Hovala) , Electric Burners , Toaster Oven"," ₪1,486.00",11/16/2021,Yuri payed with his credit card,Payments_Images/0c0f30b6.Cheshbonit.072524.jpg,467002846,11/16/2021,,11/11/2021,2021-11,U052
3596edb1,yuri@emmaleh.com,6ffe01d6,3013,8/11/21,113486,"Moving (Hovala) , Small Couch"," ₪1,150.00",11/17/2021,,Purchases_Files_/3596edb1.Cheshbonit Vendor.074727.pdf,,11/17/2021,,#VALUE!,2021-08,U102
0a82de3c,yuri@emmaleh.com,6ffe01d6,1850,10/21/21,112950,"Moving (Hovala) , Small Couch"," ₪1,150.00",11/17/2021,Awaiting Payment.,Purchases_Files_/0a82de3c.Cheshbonit Vendor.125146.pdf,,11/17/2021,,10/21/1921,2021-10,U061
0a82de31,g.tomer@prelude.co.il,b3269088,2119,09/08/21,,"Oven W Burners , WM Side Door , Regualr Fridge , Toaster Oven"," ₪4,113.00",,,Purchases_Files_/0a82de31.Cheshbonit Vendor.102334.pdf,,,,9/8/1921,2021-09,U097
0a82de32,g.tomer@prelude.co.il,b3269088,2812,09/08/21,,"WM Side Door , Moving (Hovala) , Regualr Fridge"," ₪2,869.00",,Extra 150nis with a seperate charge on the credit card,Purchases_Files_/0a82de32.Cheshbonit Vendor.112045.pdf,,,,9/8/1921,2021-09,U102
0a82de33,g.tomer@prelude.co.il,b3269088,0920,09/08/21,,"WM Side Door , Moving (Hovala) , Toaster Oven"," ₪1,324.00",,,Purchases_Files_/0a82de33.Cheshbonit Vendor.102340.pdf,,,,9/8/1921,2021-09,
0a82de34,g.tomer@prelude.co.il,b3269088,2812,12/08/21,,Moving (Hovala), ₪150.00,,seprate charge for Moving of Cheshbonit Mas - 466604560,Purchases_Files_/0a82de34.Cheshbonit Vendor.112157.pdf,,,,12/8/1921,2021-12,U102
0a82de35,g.tomer@prelude.co.il,b3269088,1433,8/16/21,,Oven W Burners, ₪799.00,,,Purchases_Files_/0a82de35.Cheshbonit Vendor.112358.pdf,Seperate charge for moving fo 130 nis,,,#VALUE!,2021-08,U052
0a82de36,g.tomer@prelude.co.il,b3269088,2801,8/16/21,,"Big Fridge , Moving (Hovala)"," ₪2,500.00",,,Purchases_Files_/0a82de36.Cheshbonit Vendor.124830.pdf,,,,#VALUE!,2021-08,U102
0a82de37,g.tomer@prelude.co.il,b3269088,1433,8/16/21,,Moving (Hovala), ₪130.00,,Seperate charge for delivery of Cheshbonit Mas - 466625417,Purchases_Files_/0a82de37.Cheshbonit Vendor.112430.pdf,,,,#VALUE!,2021-08,U052
0a82de38,g.tomer@prelude.co.il,b3269088,1304,8/16/21,,Toaster Oven, ₪280.00,,,Purchases_Files_/0a82de38.Cheshbonit Vendor.124930.pdf,,,,#VALUE!,2021-08,
0a82de39,g.tomer@prelude.co.il,b3269088,3217,8/16/21,,WM Side Door, ₪799.00,,,Purchases_Files_/0a82de39.Cheshbonit Vendor.124902.pdf,Seprate charge for moving of 130 nis,,,#VALUE!,2021-08,U102
0a82de40,g.tomer@prelude.co.il,b3269088,3217,8/16/21,,Moving (Hovala), ₪130.00,,Seperate charge for moving,Purchases_Files_/0a82de40.Cheshbonit Vendor.124924.pdf,,,,#VALUE!,2021-08,U102
0a82de41,g.tomer@prelude.co.il,b3269088,1410,8/24/21,,"Moving (Hovala) , WM Top Door"," ₪1,590.00",,,Purchases_Files_/0a82de41.Cheshbonit Vendor.125031.pdf,,,,#VALUE!,2021-08,U052
0a82de42,g.tomer@prelude.co.il,b3269088,1913,8/24/21,,"Oven W Burners , Moving (Hovala)", ₪959.00,,,Purchases_Files_/0a82de42.Cheshbonit Vendor.065114.pdf,Moving in seperate Heshbonit for 160 nis,,,#VALUE!,2021-08,U095
0a82de43,g.tomer@prelude.co.il,b3269088,2801,8/24/21,,"WM Side Door , Electric Burners , Toaster Oven"," ₪2,971.00",,,Purchases_Files_/0a82de43.Cheshbonit Vendor.125011.pdf,"2 receipts, 1 for product and 1 for moving",,,#VALUE!,2021-08,U102
9d5a3eba,g.tomer@prelude.co.il,b3269089,186dafa2a,8/22/21,,ADVERTISEMENT," ₪1,700.00",11/21/2021,Yad2 Adds for August,Purchases_Files_/9d5a3eba.Cheshbonit Vendor.120743.Pdf,,11/21/2021,,#VALUE!,2021-08,U094
3a633295,g.tomer@prelude.co.il,b3269090,186dafa2a,8/8/2021,,OFFICE RENT," ₪1,988.42",11/21/2021,,Purchases_Files_/3a633295.Cheshbonit Vendor.101852.pdf,,11/21/2021,,#VALUE!,2021-08,U094
77e15a1f,g.tomer@prelude.co.il,2564d3f5,186dafa2a,8/6/2021,,INTERNET, ₪247.60,11/21/2021,,Purchases_Files_/77e15a1f.Cheshbonit Vendor.114643.pdf,,11/21/2021,,#VALUE!,2021-08,U094
