,LEASED,LEASED,READY,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,,,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,Excluded,LEASED,READY,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,Excluded,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,Excluded,Excluded,LEASED,LEASED,LEASED,,,
Lease Ends,30/04/2027,31/12/2026,07/09/2026,31/07/2027,14/09/2027,21/03/2023,01/04/2027,31/08/2026,15/08/2026,31/08/2026,31/08/2025,20/10/2026,31/12/2026,14/06/2027,31/10/2026,25/01/2027,04/09/2026,31/08/2027,30/06/2027,14/05/2027,24/03/2027,31/08/2027,31/08/2027,05/04/2027,20/11/2026,31/05/2027,31/10/2026,17/08/2027,24/04/2027,30/06/2027,31/10/2026,26/09/2026,22/11/2026,10/03/2027,14/12/2026,30/11/2026,31/07/2027,19/08/2027,30/06/2026,31/08/2027,09/01/2027,09/07/2027,06/04/2027,18/06/2027,31/08/2026,12/07/2027,31/7/2027,30/09/2026,28/02/2027,04/03/2027,21/10/2026,09/10/2026,12/04/2027,12/08/2026,10/02/2027,10/08/2027,12/04/2027,28/02/2027,14/02/2027,23/02/2027,19/09/2027,07/11/26,10/04/2027,19/09/2027,30/04/2027,30/06/2027,17/09/2026,24/04/2027,31/08/2026,30/04/2027,17/03/2027,22/01/2027,14/11/2026,24/01/2027,23/02/2027,03/09/2028,17/06/2027,31/10/2025,14/03/2027,09/08/2027,31/08/2027,16/08/2027,31/08/2026,08/09/2026,13/04/27,09/09/2027,31/03/2026,15/01/2027,08/01/27,14/08/2027,09/06/2027,31/05/2027,31/01/2027,31/07/2027,05/10/2026,24/08/2027,12/04/2026,31/10/2026,18/11/2026,31/08/2026,30/06/2025,31/08/2027,06/07/2027,31/10/2026,15/05/2027,31/05/2027,31/08/2027,03/07/2024,,,09/09/26,31/05/27,30/06/27,26/01/27,06/01/2027,19/09/2027,31/07/2026,19/10/2026,30/09/2026,31/12/2026,31/12/2026,05/08/27,01/09/27,19/10/26,02/04/27,30/09/26,,17/08/2026,20/01/2027,22/4/2027,10/01/2027,30/04/2027,31/07/2022,31/01/2027,24/04/2027,30/04/2027,31/08/2026,31/12/2026,05/03/2027,31/08/2026,13/04/2027,31/07/2027,21/08/2027,31/07/2026,30/11/2024,14/03/2026,20/12/2026,27/04/2027,30/09/2026,01/03/2027,31/08/2027,18/08/2027,30/04/2027,,31/05/2027,18/04/2027,30/11/2026,09/03/2027,07/03/2027,31/07/2026,03/07/2027,15/03/2027,16/08/2027,31/12/2026,31/12/2026,31/08/2027,31/08/2027,30/06/2027,18/12/2026,30/09/2025,23/06/2027,,,06/04/2027,31/08/2027,29/05/2027,,,
Days Left,247,127,12,339,384,EXPIRED,218,5,EXPIRED,5,EXPIRED,55,127,292,66,152,9,370,308,261,210,370,370,222,86,278,66,356,241,308,66,31,88,196,110,96,339,358,EXPIRED,370,136,317,223,296,5,320,339,35,186,190,56,44,229,EXPIRED,168,349,229,186,172,181,389,73,227,389,247,308,22,241,5,247,203,149,80,151,181,739,295,EXPIRED,200,348,370,355,5,13,230,379,EXPIRED,142,135,353,287,278,158,339,40,363,EXPIRED,66,84,5,EXPIRED,370,314,66,262,278,370,EXPIRED,,,14,278,308,153,133,389,EXPIRED,54,35,127,127,344,371,54,219,35, ,EXPIRED,147,239,137,247,EXPIRED,158,241,247,5,127,191,5,230,339,360,EXPIRED,EXPIRED,EXPIRED,116,244,35,187,370,357,247, ,278,235,96,195,193,EXPIRED,311,201,355,127,127,370,370,308,114,EXPIRED,301, , ,223,370,276,,,
,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,200,0,100,100,33,33,33,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100,100,,,
,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,,,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,MR,,,
,,,,,,,,,,,,BP,,,,,BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BP,,BP,,BP,BP,,,,,BP,,BP,BP,BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,01,02,03,04,05,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54A,54B,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88A,88B,89A,89B,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,108,,,201,202,203,204,205,206,207,208,209,210,211,212,213,214A,214B,214C,215,216,217,218,219A,219B,220,221,222,223,224,225,226,227,228,229,230,231A,231B,232A,232B,233,234,235,236,237,238,239,240,241,242,243,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,71,72,Total income Rucon,Total income Aviram,Total income HD
,חנה סנש 08/05,חנה סנש 18/7 ב',השלום 129/6,חנה סנש 6/6,גוש עציון 83/6,חנה סנש 14/8,חנה סנש 12/1,רוטנברג 12/17,גוש עציון 87/3,גוש עציון 95/4,חנה סנש 18/7 ה',נילי 7/21,חנה סנש 14/14 ב',חנה סנש 10/8,חנה סנש 4/8,וינגייט 4/3,נילי 7/22,חנה סנש 10/7,חנה סנש 18/1 ז',חנה סנש 2/5,רוטנברג 12/26,חנה סנש 2/1,חנה סנש 2/2,חנה סנש 14/20,השלום 135/6,חנה סנש 2/8,חנה סנש 10/4,חנה סנש 14/26,השלום 133/30,חנה סנש 14/44,נילי 7/28,חנה סנש 18/7 ג',גוש עציון 83/3,חנה סנש 18/8 ז',חנה סנש 18/5 ד',גוש עציון 87/5,חנה סנש 14/42 ו',חנה סנש 8/3,חנה סנש 18/8 ה',גוש עציון 97/25,חנה סנש 14/4,חנה סנש 6/5,גוש עציון 83/5,רוטנברג 14/14,חנה סנש 14/3,רוטנברג 6/1,גוש עציון 81/4,חנה סנש 14/2,בן גוריון 18/13,חנה סנש 18/5 ב',חנה סנש 12/8,בן גוריון 20/3,חנה סנש 2/4,וינגייט 2/7,וינגייט 2/7,גוש עציון 97/27,גוש עציון 97/30,רוטנברג 8/4,גוש עציון 89/4,רזיאל 5/5,וינגייט 4/2,גוש עציון 81/2,חנה סנש 14/10,חנה סנש 18/1 ב',חנה סנש 10/2,חנה סנש 18/2 א',חנה סנש 18/2 ד',גוש עציון 95/1,רוטנברג 6/13,חנה סנש 14/46,רוטנברג 16/12,רזיאל 15/59,גוש עציון 85/01,רוטנברג 22/14,רוטנברג 20/27,גוש עציון 95/57,גוש עציון 81/03,רוטנברג 08/11,רזיאל  13/06,חנה סנש 18/31,רוטנברג 20/17,רוטנברג 20/10,בן גוריון 16/09,רוטנברג 14/05,וינגייט 04/05,גוש עציון 97/22,השלום 133/1,השלום 133/1,השלום 135/2,השלום 135/2,רוטנברג 10/35,גוש עציון 91/05,גוש עציון 97/04,רוטנברג 10/01,נילי 05/15,גוש עציון 97/11,חנה סנש 18/2ח',רוטנברג 06/27,חנה סנש 08/02,השלום 129/1,חנה סנש 18/06,חנה סנש 18/05,נילי 07/26,רוטנברג 12/07,רוטנברג 06/17,נילי 05/09,רוטנברג 12/27,רוטנברג 10/11,,,נילי 5/8,נילי 7/24,חנה סנש 6/6,בן גוריון 16/4,חנה סנש 18/1 א',רזיאל 5/3,נילי 7/29,השלום 129/5א',חנה סנש 18/3 ב',חנה סנש 4/13,חנה סנש 4/14,רזיאל 1/8,רוטנברג 12/20,השלום 131/1,השלום 131/1,השלום 131/1,חנה סנש 12/04,רוטנברג 16/01,חנה סנש 06/01,גוש עציון 97/08,וינגייט 02/06,וינגייט 02/06,חנה סנש 14/06,גוש עציון 91/06,רוטנברג 22/13,בן גוריון 20/02,רוטנברג 06/28,חנה סנש 18/04 ז,השלום 129/03,חנה סנש 02/03,וינגייט  04/06,השלום 131/2,חנה סנש 02/06,נילי 07/23,נילי 07/23,השלום 133/20,השלום 133/20,חנה סנש 18/60,רוטנברג 06/33,רוטנברג 06/10,נילי 05/05,נילי 05/06,גוש עציון 97/12,רוטנברג 20/02,גוש עציון 81/06,נילי  05/13,רוטנברג 06/34,השלום 129/12,השלום 133/19,גוש עציון 77/06,נילי 05/10,נילי 05/14,נילי 05/01,רוטנברג 06/06,רוטנברג 06/05,גוש עציון  99/03,גוש עציון  97/16,השלום 133/29,גוש עציון 87/06,רוטנברג 18/07,בן גוריון 16/08,גוש עציון 93/53,גוש עציון 93/54,השלום 135/14,גוש עציון 93/1,גוש עציון 93/2,,,
,I,I,I,I,I,I,I,II,I,I,I,,I,I,I,I,,I,I,I,I,I,I,I,I,II,II,I,I,II,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,,II,,II,,,II,,II,,,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 15,,READY,,,,,,READY,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
