TRULY Unique ID,EASYPROD - UniquID,EASYPROD - Appt ID,NEW OCCUPANCY UNIT,NEW OCCUPANCY ADRESSS,ASSAF UNIT,Assaf Address,ZEHAVIT yechida,zehavit address,zehavit alternative address,RICKI APT ,ricki insurance,CONTROLSHEET
001,3228,U001,01,חנה סנש 08/05,1,חנה סנש 8/5,1,חנה סנש 8/5,חנה סנש 8/28,1,חנה סנש 08/05,1
002,2015,U002,02,חנה סנש 18/7 ב',2,חנה סנש 18/15,2,חנה סנש 18/15,"חנה סנש 18/7 ב'
רזיאל 3/15",2,חנה סנש 18/7 ב',2
003,2805,U003,03,השלום 129/6,3,השלום 129/6,3,השלום 129/5 ,"השלום 129/6 א'
בארנונה",3,השלום 129/6,3
004,3222,U004,04,חנה סנש 6/6,4,חנה סנש 6/8,4,חנה סנש 6/6,"חנה סנש 6/8
בחשמל 6/22",4,חנה סנש 6/6,4
005,1825,U005,05,גוש עציון 83/6,5,גוש עציון 83/6,5,גוש עציון  83/6,בחשמל גוש עציון 83/24,5,גוש עציון 83/6,5
006,2608,U006,6,חנה סנש 14/8,6,חנה סנש 14/8,6,חנה סנש 14/8 א',X,6,חנה סנש 14/8,6
007,3239,U007,7,חנה סנש 12/1,7,חנה סנש 12/1,7,חנה סנש 12/17,חנה סנש 12/39 בחשמל,7,חנה סנש 12/1,7
008,0917,U008,8,רוטנברג 12/17,8,רוטנברג 12/17,8,רוטנברג 44632,בח״ח רוטנברג 12/17,8,רוטנברג 12/17,8
009,1834,U009,9,גוש עציון 87/3,9,גוש עציון 87/3,9,גוש עציון 87/3,גוש עציון 87/33,9,גוש עציון 87/3,9
00A,1859,U010,10,גוש עציון 95/4,10,גוש עציון 95/4,10,גוש עציון 95/4,גוש עציון 95/58,10,גוש עציון 95/4,10
00B,2037,U011,11,חנה סנש 18/7 ה',11,רזיאל 18/7,11,חנה סנש 18/37,"חנה סנש 18/7ה'
רזיאל 9/37
רזיאל 9/7 ",11,חנה סנש 18/7 ה',11
00C,1721,U012,12,נילי 7/21,12,נילי 7/21,12,"ני""לי  7/21",בפזגז נילי 5/21,12,נילי 7/21,12
00D,2614,U013,13,חנה סנש 14/14 ב',13,חנה סנש 14/14,13,חנה סנש 14/14,"ח""ס 14\14 ב'",13,חנה סנש 14/14 ב',13
00E,3238,U014,14,חנה סנש 10/8,14,חנה סנש 10/8,14,חנה סנש 10/8,חנה סנש 10/38,14,חנה סנש 10/8,14
00F,3216,U015,15,חנה סנש 4/8,15,חנה סנש 4/7,15,חנה סנש 4/8,חנה סנש 4/16,15,חנה סנש 4/8,15
010,3004,U016,16,וינגייט 4/3,16,וינגיט 4/3,16,וינגייט 4/3,"השלום 125
וינגייט 4/4",16,וינגייט 4/3,16
011,1722,U017,17,נילי 7/22,17,נילי 7/22,17,"ני""לי  7/22",בפזגז נילי 5/22,17,נילי 7/22,17
012,3237,U018,18,חנה סנש 10/7,18,חנה סנש 10/7,18,חנה סנש 10/7,חנה סנש 10/37,18,חנה סנש 10/7,18
013,2047,U019,19,חנה סנש 18/1 ז',19,חנה סנש 18/01,19,חנה סנש 18/1 ז',"רזיאל 13/1
רזיאל 13/47
בחשמל חנה סנש 18/47",19,חנה סנש 18/1 ז',19
014,3205,U020,20,חנה סנש 2/5,20,חנה סנש 2/5,20,חנה סנש 2/5,X,20,חנה סנש 2/5,20
015,0926,U021,21,רוטנברג 12/26,21,רוטנברג 12/12,21,רוטנברג 12/12,רוטנברג 12/26 ,21,רוטנברג 12/26,21
016,3201,U022,22,חנה סנש 2/1,22,חנה סנש 2/1,22,חנה סנש 2/1,X,22,חנה סנש 2/1,22
017,3202,U023,23,חנה סנש 2/2,23,חנה סנש 2/2,23,חנה סנש 2/2,X,23,חנה סנש 2/2,23
018,2620,U024,24,חנה סנש 14/20,24,חנה סנש 14/20,24,חנה סנש 14/20 ג',X,24,חנה סנש 14/20,24
019,2107,U025,25,השלום 135/6,25,השלום 135/6,25,השלום 135/6,X,25,השלום 135/6,25
01A,3208,U026,26,חנה סנש 2/8,26,חנה סנש 2/8,26,חנה סנש 2/8,X,26,חנה סנש 2/8,26
01B,3234,U027,27,חנה סנש 10/4,27,חנה סנש 10/4,27,חנה סנש 10/4,"חנה סנש 10/34
בחשמל",27,חנה סנש 10/4,27
01C,2626,U028,28,חנה סנש 14/26,28,חנה סנש 14/26,28,חנה סנש  14/26 ד',X,28,חנה סנש 14/26,28
01D,2130,U029,29,השלום 133/30,29,השלום 133/30,29,השלום  133/30,X,29,השלום 133/30,29
01E,2644,U030,30,חנה סנש 14/44,30,חנה סנש 14/44,30,חנה סנש  14/44 ו',X,30,חנה סנש 14/44,30
01F,1728,U031,31,נילי 7/28,31,נילי 7/28,31,"ני""לי  7/28","ני""לי 5/28",31,נילי 7/28,31
020,2023,U032,32,חנה סנש 18/7 ג',32,חנה סנש 18/7,32,חנה סנש 18/7 ג',חנה סנש 18/23,32,חנה סנש 18/7 ג',32
021,1822,U033,33,גוש עציון 83/3,33,גוש עציון 83/4,33,גוש עציון 83/3,גוש עציון 83/21,33,גוש עציון 83/3,33
022,2054,U034,34,חנה סנש 18/8 ז',34,חנה סנש 18/8,34,חנה סנש 18/8  ז',חנה סנש 18/54 רזיאל 13/8,34,חנה סנש 18/8 ז',34
023,2028,U035,35,חנה סנש 18/5 ד',35,חנה סנש 18/5,35,חנה סנש 18/5 ד',"רזיאל 18/5
חנה סנש 18/28
רזיאל 7/5",35,חנה סנש 18/5 ד',35
024,8735,U036,36,גוש עציון 87/5,36,גוש עציון 87/5,36,גוש עציון 87/5,גוש עציון 87/35,36,גוש עציון 87/5,36
025,2642,U037,37,חנה סנש 14/42 ו',37,חנה סנש 14/42,37,חנה סנש 14/42 ו',X,37,חנה סנש 14/42 ו',37
026,3226,U038,38,חנה סנש 8/3,38,חנה סנש 8/3,38,חנה סנש 8/3  ד',חנה סנש 8/26,38,חנה סנש 8/3,38
027,2038,U039,39,חנה סנש 18/8 ה',39,חנה סנש 18/8 ה',39,חנה סנש 18/8 ה',"רזיאל 9/38
ריזיאל 5/38
חנה סנש 18/38 חשמל",39,חנה סנש 18/8 ה',39
028,1925,U040,40,גוש עציון 97/25,40,גוש עציון 97/25,40,גוש עציון 97/25,בחשמל 99/25,40,גוש עציון 97/25,40
029,2604,U041,41,חנה סנש 14/4,41,חנה סנש 14/4,41,חנה סנש 42839,X,41,חנה סנש 14/4,41
02A,3221,U042,42,חנה סנש 6/5,42,חנה סנש 6/5,42,חנה סנש 42861,חנה סנש 6/21,42,חנה סנש 6/5,42
02B,1824,U043,43,גוש עציון 83/5,43,גוש עציון 83/5,43,גוש עציון 83/5,גוש עציון 83/23,43,גוש עציון 83/5,43
02C,0914,U044,44,רוטנברג 14/14,44,רוטנברג 14/14,44,רוטנברג 14/14,X,44,רוטנברג 0,44
02D,2603,U045,45,חנה סנש 14/3,45,חנה סנש 14/3,45,חנה סנש 14/3 א',X,45,חנה סנש 14/3,45
02E,1432,U046,46,רוטנברג 6/1,46,רוטנברג 6/32,46,רוטנברג 6/32 ו',X,46,רוטנברג 6/1,46
02F,1817,U047,47,גוש עציון 81/4,47,גוש עציון 81/4,47,גוש עציון 77/16,"גוש עציון 81/4 בארנונה
גוש עציון 81/16 בחשמל ובגז",47,גוש עציון 81/4,47
030,2602,U048,48,חנה סנש 14/2,48,חנה סנש 14/2,48,חנה סנש  42414,X,48,חנה סנש 14/2,48
031,1327,U049,49,בן גוריון 18/13,49,בן גוריון 18/13,49,בן גוריון 18/13,X,49,בן גוריון 18/13,49
032,2013,U050,50,חנה סנש 18/5 ב',50,חנה סנש 18/5 ב,50,חנה סנש 18/5 ב',"רזיאל 3/13
חנה סנש 18/13 (בחשמל)",50,חנה סנש 18/5 ב',50
033,3246,U051,51,חנה סנש 12/8,51,חנה סנש 12/8,51,חנה סנש 42959,"בחברת חשמל 
חנה סנש 12/46",51,חנה סנש 12/8,51
034,1332,U052,52,בן גוריון 20/3,52,בן גוריון 20/3,52,בן גוריון 42845,X,52,בן גוריון 20/3,52
035,3204,U053,53,חנה סנש 2/4,53,חנה סנש 2/4,53,חנה סנש 42827,X,53,חנה סנש 2/4,53
036,3008,U054,54A,וינגייט 2/7,54A,וינגיט 2/7,54A,וינגייט 42918,"השלום 125
(ביחד- 54B)",54,וינגייט 2/7,54
037,,,54B,וינגייט 2/7,54B,וינגיט 2/7,54B,וינגייט 42918,"השלום 125
(ביחד- 54A)",, ,
038,1927,U055,55,גוש עציון 97/27,55,גוש עציון 97/27,55,גוש עציון 97/27,"בן גוריון 28
בח.חשמל גוש עציון 99/27",55,גוש עציון 97/27,55
039,1930,U056,56,גוש עציון 97/30,56,גוש עציון 97/30,56,גוש עציון 97/30,גוש עציון 99/30,56,גוש עציון 97/30,56
03A,0946,U057,57,רוטנברג 8/4,57,רוטנברג 8/46,57,רוטנברג 8/46,רוטנברג 8/4,57,רוטנברג 8/4,57
03B,1841,U058,58,גוש עציון 89/4,58,גוש עציון 89/4,58,גוש עציון 89/4,גוש עציון 89/40,58,גוש עציון 89/4,58
03C,2020,U059,59,רזיאל 5/5,59,רזיאל 5/5,59,חנה סנש 18/4 ג',"רזיאל 5/4 
חנה סנש 18/20",59,רזיאל 5/5,59
03D,3001,U060,60,וינגייט 4/2,60,ויגיט 4/2,60,וינגייט  43500,"דרך השלום 125
וינגייט 4/2",60,וינגייט 4/2,60
03E,1815,U061,61,גוש עציון 81/2,61,גוש עציון 81/2,61,גוש עציון 81/2,"גוש עציון 81/14
פזגז: גוש עציון 81/15",61,גוש עציון 81/2,61
03F,2610,U062,62,חנה סנש 14/10,62,חנה סנש 14/10,62,חנה סנש 43022,X,62,חנה סנש 14/10,62
040,2009,U063,63,חנה סנש 18/1 ב',63,חנה סנש 18/1ב,63,חנה סנש 18/1ב',"רזיאל 3/9 ב
חנה סנש 18/9",63,חנה סנש 18/1 ב',63
041,3232,U064,64,חנה סנש 10/2,64,חנה סנש 10/2,64,חנה סנש 42776,חנה סנש 32\10,64,חנה סנש 10/2,64
