"name","street","streetNumber","entrance","lat","lng","source"
"חנה סנש 8 · Entrance ד","חנה סנש","8","ד","31.256960998875","34.809942885679","arcgis"
"חנה סנש 18 · Entrance ב","חנה סנש","18","ב","31.258113007647","34.810001978097","arcgis"
"השלום 129 · Entrance א","השלום","129","א","31.257140413512","34.810860787896","arcgis"
"חנה סנש 6 · Entrance ג","חנה סנש","6","ג","31.256851992224","34.809961996418","arcgis"
"גוש עציון 83 · Entrance ד","גוש עציון","83","ד","31.258702003983","34.809639963698","arcgis"
"חנה סנש 14 · Entrance א","חנה סנש","14","א","31.25749899133","34.810015975875","arcgis"
"חנה סנש 12 · Entrance ו","חנה סנש","12","ו","31.257197997187","34.809952021954","arcgis"
"רוטנברג 12 · Entrance ב","רוטנברג","12","ב","31.259603393851","34.80871963073","arcgis"
"גוש עציון 87 · Entrance ו","גוש עציון","87","ו","31.258702003983","34.809901981992","arcgis"
"גוש עציון 95 · Entrance י","גוש עציון","95","י","31.25870401564","34.81041285899","arcgis"
"נילי 7 · Entrance ב","נילי","7","ב","31.259021983137","34.809974988368","arcgis"
"חנה סנש 10 · Entrance ה","חנה סנש","10","ה","31.257067993869","34.809965013904","arcgis"
"חנה סנש 4 · Entrance ב","חנה סנש","4","ב","31.256754007776","34.809936012519","arcgis"
"וינגייט 4 · Entrance א","וינגייט","4","א","31.256619981144","34.810286040795","arcgis"
"חנה סנש 2 · Entrance א","חנה סנש","2","א","31.256632009175","34.809955961448","arcgis"
"השלום 135 · Entrance א","השלום","135","א","31.257907986295","34.811096989927","arcgis"
"השלום 133 · Entrance ב","השלום","133","ב","31.257774001573","34.811176031274","arcgis"
"גוש עציון 97 · Entrance ב","גוש עציון","97","ב","31.258545010937","34.810510005248","arcgis"
"רוטנברג 14 · Entrance א","רוטנברג","14","א","31.259646015828","34.808642014306","arcgis"
"רוטנברג 6 · Entrance ו","רוטנברג","6","ו","31.259359019464","34.809282978442","arcgis"
"גוש עציון 81 · Entrance ג","גוש עציון","81","ג","31.258725012307","34.809518007007","arcgis"
"בן גוריון 18 · Entrance א","בן גוריון","18","א","31.25975498057","34.809620014769","arcgis"
"בן גוריון 20 · Entrance א","בן גוריון","20","א","31.259594006119","34.809809026685","arcgis"
"וינגייט 2 · Entrance ב","וינגייט","2","ב","31.256656987246","34.810362986666","arcgis"
"רוטנברג 8 · Entrance ד","רוטנברג","8","ד","31.259707706636","34.809062534389","arcgis"
"גוש עציון 89 · Entrance ז","גוש עציון","89","ז","31.258723000651","34.810037014452","arcgis"
"רוטנברג 16 · Entrance ד","רוטנברג","16","ד","31.259444011962","34.80840103459","arcgis"
"גוש עציון 93 · Entrance ט","גוש עציון","93","ט","31.258719983165","34.810277910349","arcgis"
"גוש עציון 85 · Entrance ה","גוש עציון","85","ה","31.258723000651","34.80977399033","arcgis"
"רוטנברג 22 · Entrance א","רוטנברג","22","א","31.259440994477","34.807903987732","arcgis"
"רוטנברג 20 · Entrance ב","רוטנברג","20","ב","31.25943898282","34.808088976335","arcgis"
"בן גוריון 16 · Entrance א","בן גוריון","16","א","31.259897011919","34.809437037823","arcgis"
"רוטנברג 10 · Entrance ג","רוטנברג","10","ג","31.259633401064","34.808960526627","arcgis"
"גוש עציון 91 · Entrance ח","גוש עציון","91","ח","31.258703009812","34.810157965315","arcgis"
"נילי 5 · Entrance א","נילי","5","א","31.259138994505","34.809965013904","arcgis"
"השלום 131 · Entrance א","השלום","131","א","31.257426990782","34.811295976309","arcgis"
"גוש עציון 77 · Entrance א","גוש עציון","77","א","31.258723000651","34.809255988714","arcgis"
"גוש עציון 99 · Entrance א","גוש עציון","99","א","31.258429005397","34.810530960006","arcgis"
"חנה סנש 16 · Entrance א","חנה סנש","16","א","31.257770020169","34.809989991975","arcgis"
"גוש עציון 79 · Entrance ב","גוש עציון","79","ב","31.258703009812","34.809378029224","arcgis"
"השלום 127 · Entrance א","השלום","127","א","31.256812010546","34.810766994399","arcgis"
"רוטנברג 18 · Entrance ג","רוטנברג","18","ג","31.259432989759","34.808244041544","arcgis"
"רוטנברג 1 · Entrance main","רוטנברג","1","main","31.258745506061","34.80898190048","arcgis"
"חנה סנש 1 · Entrance main","חנה סנש","1","main","31.256657196794","34.809583888766","arcgis"
